Well,Fluor,Target,Content,Sample,Biological Set Name,Cq,Cq Mean,Cq Std. Dev,Starting Quantity (SQ),Log Starting Quantity,SQ Mean,SQ Std. Dev,Set Point,Well Note
E03,SYBR,CmACO1,Unkn,M.15.B,,25.6043960000000,25.6043960000000,0,NaN,NaN,NaN,0,55.3,
E04,SYBR,CmACO1,Unkn,M.30.C,,21.4035590000000,21.4035590000000,0,NaN,NaN,NaN,0,55.3,
E05,SYBR,CmATH,Unkn,M.15.A,,26.6729240000000,26.6729240000000,0,NaN,NaN,NaN,0,55.3,
E06,SYBR,CmATH,Unkn,M.30.B,,23.8827060000000,23.8827060000000,0,NaN,NaN,NaN,0,55.3,
E07,SYBR,CmATH,Unkn,M.M.C,,24.4632540000000,24.4632540000000,0,NaN,NaN,NaN,0,55.3,
E08,SYBR,CmEREBP,Unkn,M.30.A,,22.2672480000000,22.2672480000000,0,NaN,NaN,NaN,0,55.3,
E09,SYBR,CmEREBP,Unkn,M.M.B,,20.9687960000000,20.9687960000000,0,NaN,NaN,NaN,0,55.3,
E10,SYBR,CmCYP,Unkn,M.15.C,,21.9820230000000,21.9820230000000,0,NaN,NaN,NaN,0,55.3,
E11,SYBR,CmCYP,Unkn,M.M.A,,19.3346360000000,19.3346360000000,0,NaN,NaN,NaN,0,55.3,
E12,SYBR,CmATH,NTC,,,NaN,NaN,0,NaN,NaN,NaN,0,55.3,
F01,SYBR,CmACS,Unkn,M.15.C,,36.205243000000,36.205243000000,0,NaN,NaN,NaN,0,55.3,
F02,SYBR,CmACS,Unkn,M.M.A,,22.5298480000000,22.5298480000000,0,NaN,NaN,NaN,0,55.3,
F03,SYBR,CmACO1,Unkn,M.15.B,,25.8848250000000,25.8848250000000,0,NaN,NaN,NaN,0,55.3,
F04,SYBR,CmACO1,Unkn,M.30.C,,21.3937890000000,21.3937890000000,0,NaN,NaN,NaN,0,55.3,
F05,SYBR,CmATH,Unkn,M.15.A,,26.8254610000000,26.8254610000000,0,NaN,NaN,NaN,0,55.3,
F06,SYBR,CmATH,Unkn,M.30.B,,24.2240640000000,24.2240640000000,0,NaN,NaN,NaN,0,55.3,
F07,SYBR,CmATH,Unkn,M.M.C,,24.7071130000000,24.7071130000000,0,NaN,NaN,NaN,0,55.3,
F08,SYBR,CmEREBP,Unkn,M.30.A,,21.3094980000000,21.3094980000000,0,NaN,NaN,NaN,0,55.3,
F09,SYBR,CmEREBP,Unkn,M.M.B,,20.8393490000000,20.8393490000000,0,NaN,NaN,NaN,0,55.3,
F10,SYBR,CmCYP,Unkn,M.15.C,,22.0108860000000,22.0108860000000,0,NaN,NaN,NaN,0,55.3,
F11,SYBR,CmCYP,Unkn,M.M.A,,19.8068520000000,19.8068520000000,0,NaN,NaN,NaN,0,55.3,
F12,SYBR,CmEREBP,NTC,,,NaN,NaN,0,NaN,NaN,NaN,0,55.3,
G01,SYBR,CmACS,Unkn,M.30.A,,28.6618140000000,28.6618140000000,0,NaN,NaN,NaN,0,55.3,
G02,SYBR,CmACS,Unkn,M.M.B,,19.8742350000000,19.8742350000000,0,NaN,NaN,NaN,0,55.3,
G03,SYBR,CmACO1,Unkn,M.15.C,,29.3538520000000,29.3538520000000,0,NaN,NaN,NaN,0,55.3,
G04,SYBR,CmACO1,Unkn,M.M.A,,19.7959040000000,19.7959040000000,0,NaN,NaN,NaN,0,55.3,
G05,SYBR,CmATH,Unkn,M.15.B,,28.65768800000,28.65768800000,0,NaN,NaN,NaN,0,55.3,
G06,SYBR,CmATH,Unkn,M.30.C,,23.9698210000000,23.9698210000000,0,NaN,NaN,NaN,0,55.3,
G07,SYBR,CmEREBP,Unkn,M.15.A,,25.3640160000000,25.3640160000000,0,NaN,NaN,NaN,0,55.3,
G08,SYBR,CmEREBP,Unkn,M.30.B,,21.573830000000,21.573830000000,0,NaN,NaN,NaN,0,55.3,
G09,SYBR,CmEREBP,Unkn,M.M.C,,21.3899270000000,21.3899270000000,0,NaN,NaN,NaN,0,55.3,
G10,SYBR,CmCYP,Unkn,M.30.A,,20.1439050000000,20.1439050000000,0,NaN,NaN,NaN,0,55.3,
G11,SYBR,CmCYP,Unkn,M.M.B,,20.0912530000000,20.0912530000000,0,NaN,NaN,NaN,0,55.3,
G12,SYBR,CmCYP,NTC,,,NaN,NaN,0,NaN,NaN,NaN,0,55.3,
H01,SYBR,CmACS,Unkn,M.30.A,,28.6527910000000,28.6527910000000,0,NaN,NaN,NaN,0,55.3,
H02,SYBR,CmACS,Unkn,M.M.B,,19.6307340000000,19.6307340000000,0,NaN,NaN,NaN,0,55.3,
H03,SYBR,CmACO1,Unkn,M.15.C,,28.853692000000,28.853692000000,0,NaN,NaN,NaN,0,55.3,
H04,SYBR,CmACO1,Unkn,M.M.A,,19.4776200000000,19.4776200000000,0,NaN,NaN,NaN,0,55.3,
H05,SYBR,CmATH,Unkn,M.15.B,,29.5838880000000,29.5838880000000,0,NaN,NaN,NaN,0,55.3,
H06,SYBR,CmATH,Unkn,M.30.C,,24.1583750000000,24.1583750000000,0,NaN,NaN,NaN,0,55.3,
H07,SYBR,CmEREBP,Unkn,M.15.A,,25.3572120000000,25.3572120000000,0,NaN,NaN,NaN,0,55.3,
H08,SYBR,CmEREBP,Unkn,M.30.B,,21.5942640000000,21.5942640000000,0,NaN,NaN,NaN,0,55.3,
H09,SYBR,CmEREBP,Unkn,M.M.C,,21.4557610000000,21.4557610000000,0,NaN,NaN,NaN,0,55.3,
H10,SYBR,CmCYP,Unkn,M.30.A,,20.1922060000000,20.1922060000000,0,NaN,NaN,NaN,0,55.3,
H11,SYBR,CmCYP,Unkn,M.M.B,,20.0369730000000,20.0369730000000,0,NaN,NaN,NaN,0,55.3,
H12,SYBR,CmCYP,NTC,,,NaN,NaN,0,NaN,NaN,NaN,0,55.3
