Well,Fluor,Target,Content,Sample,Biological Set Name,Cq,Cq Mean,Cq Std. Dev,Starting Quantity (SQ),Log Starting Quantity,SQ Mean,SQ Std. Dev,Set Point,Well Note
E03,SYBR,CmACO,Unkn,K.15.B,,25.530112000000,25.530112000000,0,NaN,NaN,NaN,0,55.3,
E04,SYBR,CmACO,Unkn,K.30.C,,21.5300000000000,21.5300000000000,0,NaN,NaN,NaN,0,55.3,
E05,SYBR,CmATH,Unkn,K.15.A,,27.4659610000000,27.4659610000000,0,NaN,NaN,NaN,0,55.3,
E06,SYBR,CmATH,Unkn,K.30.B,,29.2893140000000,29.2893140000000,0,NaN,NaN,NaN,0,55.3,
E07,SYBR,CmATH,Unkn,K.M.C,,25.9387920000000,25.9387920000000,0,NaN,NaN,NaN,0,55.3,
E08,SYBR,CmEREBP,Unkn,K.30.A,,22.1828380000000,22.1828380000000,0,NaN,NaN,NaN,0,55.3,
E09,SYBR,CmEREBP,Unkn,K.M.B,,23.4242420000000,23.4242420000000,0,NaN,NaN,NaN,0,55.3,
E10,SYBR,CmCYP,Unkn,K.15.C,,20.3666990000000,20.3666990000000,0,NaN,NaN,NaN,0,55.3,
E11,SYBR,CmCYP,Unkn,K.M.A,,21.2972050000000,21.2972050000000,0,NaN,NaN,NaN,0,55.3,
E12,SYBR,CmATH,NTC,,,NaN,NaN,0,NaN,NaN,NaN,0,55.3,
F01,SYBR,CmACS,Unkn,K.15.C,,26.7881750000000,26.7881750000000,0,NaN,NaN,NaN,0,55.3,
F02,SYBR,CmACS,Unkn,K.M.A,,26.6476050000000,26.6476050000000,0,NaN,NaN,NaN,0,55.3,
F03,SYBR,CmACO,Unkn,K.15.B,,25.3984630000000,25.3984630000000,0,NaN,NaN,NaN,0,55.3,
F04,SYBR,CmACO,Unkn,K.30.C,,21.4478320000000,21.4478320000000,0,NaN,NaN,NaN,0,55.3,
F05,SYBR,CmATH,Unkn,K.15.A,,27.1902870000000,27.1902870000000,0,NaN,NaN,NaN,0,55.3,
F06,SYBR,CmATH,Unkn,K.30.B,,29.0008680000000,29.0008680000000,0,NaN,NaN,NaN,0,55.3,
F07,SYBR,CmATH,Unkn,K.M.C,,26.0391560000000,26.0391560000000,0,NaN,NaN,NaN,0,55.3,
F08,SYBR,CmEREBP,Unkn,K.30.A,,22.2046050000000,22.2046050000000,0,NaN,NaN,NaN,0,55.3,
F09,SYBR,CmEREBP,Unkn,K.M.B,,23.6347440000000,23.6347440000000,0,NaN,NaN,NaN,0,55.3,
F10,SYBR,CmCYP,Unkn,K.15.C,,20.4155560000000,20.4155560000000,0,NaN,NaN,NaN,0,55.3,
F11,SYBR,CmCYP,Unkn,K.M.A,,21.367691000000,21.367691000000,0,NaN,NaN,NaN,0,55.3,
F12,SYBR,CmEREBP,NTC,,,NaN,NaN,0,NaN,NaN,NaN,0,55.3,
G01,SYBR,CmACS,Unkn,K.30.A,,26.868585000000,26.868585000000,0,NaN,NaN,NaN,0,55.3,
G02,SYBR,CmACS,Unkn,K.M.B,,26.8574820000000,26.8574820000000,0,NaN,NaN,NaN,0,55.3,
G03,SYBR,CmACO,Unkn,K.15.C,,25.1561530000000,25.1561530000000,0,NaN,NaN,NaN,0,55.3,
G04,SYBR,CmACO,Unkn,K.M.A,,26.1227770000000,26.1227770000000,0,NaN,NaN,NaN,0,55.3,
G05,SYBR,CmATH,Unkn,K.15.B,,27.3163650000000,27.3163650000000,0,NaN,NaN,NaN,0,55.3,
G06,SYBR,CmATH,Unkn,K.30.C,,25.6535980000000,25.6535980000000,0,NaN,NaN,NaN,0,55.3,
G07,SYBR,CmEREBP,Unkn,K.15.A,,22.7957180000000,22.7957180000000,0,NaN,NaN,NaN,0,55.3,
G08,SYBR,CmEREBP,Unkn,K.30.B,,22.9441260000000,22.9441260000000,0,NaN,NaN,NaN,0,55.3,
