target,n_wells,mean_efficiency,sd_efficiency,mean_r2,efficiency_pct,efficiency_flag
CmACO,72,2.0330677663776,0.10368418163460497,0.9983912069584593,103.3,OK
CmACS,72,1.972615260720614,0.07138657669044687,0.9988303341979738,97.3,OK
CmATH,72,2.0575347297554396,0.1522786029212328,0.998642502556655,105.8,OK
CmCYP,72,2.0109094343970852,0.12147804580739362,0.9984403381760065,101.1,OK
CmEREBP,72,2.0361225673172503,0.11026367766028773,0.9982498069251126,103.6,OK
