Cycle,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12
1,-71.1470300000000,-26.2282530000000,-33.3069520000000,-18.3135440000000,-40.1275630000000,-30.9064850000000,-41.1845950000000,-42.1236680000000,-33.8431350000000,-25.7679280000000,-27.3932510000000,-44.703124000000,-71.1470300000000,-20.9192390000000,-32.6700120000000,-21.8053840000000,-30.5158950000000,-20.4881790000000,-29.0464300000000,-27.7954470000000,-15.9518600000000,-16.7128570000000,-21.3551700000000,-35.8366500000000,-35.9999780000000,-12.6225380000000,-30.048233000000,-13.7023500000000,-24.8673760000000,-26.5423990000000,-23.0300420000000,-21.9356390000000,-15.4841510000000,-7.37531600000000,-19.8830460000000,-5.99134600000000,-42.3103230000000,-24.2849070000000,-30.6111500000000,-19.3706770000000,-31.1517300000000,-28.7549360000000,-30.8070670000000,-16.8632380000000,-17.6640150000000,-3.25669500000000,-16.564155000000,-25.4938250000000,-34.5294810000000,-22.7292480000000,-27.1616250000000,-24.2179880000000,-36.1057490000000,-19.2481750000000,-27.8775620000000,-29.9318070000000,-18.2620060000000,-1.05661300000000,-12.3676830000000,-16.0091170000000,-30.618397000000,-32.8860150000000,-18.7382630000000,-15.8140200000000,-35.4443120000000,-12.4520870000000,-33.2317630000000,-18.0415010000000,-12.3573460000000,-6.37257700000000,-12.8785670000000,-23.724928000000,-38.4834610000000,-30.6467220000000,-24.2178460000000,-19.2947800000000,-11.2586980000000,-16.4298280000000,-22.8963850000000,-20.5266530000000,-25.6560830000000,-18.6844090000000,-14.98877500000,-16.7436900000000,-38.4834610000000,-41.050587000000,-15.6813780000000,-21.5453270000000,-14.5510090000000,-16.3387000000000,-29.6053690000000,-23.3283940000000,-33.8954430000000,-26.8027920000000,-34.7501590000000,-13.5222060000000
2,-37.470747000000,-18.1174300000000,-13.7471620000000,-13.298599000000,-21.0519190000000,-14.3081410000000,-21.5664290000000,-18.624260000000,-16.3115390000000,-9.74263200000000,-11.1150760000000,-14.4546100000000,-37.470747000000,-8.27595400000000,-21.7014610000000,-13.8333970000000,-19.6578660000000,-12.7355950000000,-12.7914680000000,-21.2244080000000,-8.79240400000000,-10.7401180000000,-13.7539880000000,-14.8473640000000,-12.6894720000000,-6.5380780000000,-15.4465060000000,-5.31691800000000,-13.7655550000000,-11.1208110000000,-12.8689740000000,-7.80735700000000,-9.66151100000000,-2.20473400000000,-10.9851630000000,-3.93829600000000,-26.7748120000000,-14.5798070000000,-19.2112770000000,-13.2081350000000,-16.8347390000000,-15.6667970000000,-19.4301180000000,-11.410496000000,-11.4811450000000,4.28581900000000,-8.19166300000000,-19.549216000000,-16.5869210000000,-15.5983530000000,-17.5374050000000,-15.6474830000000,-25.4314890000000,-13.2230790000000,-12.2100590000000,-12.465012000000,-6.05544600000000,2.22642200000000,-5.15101300000000,-3.23953200000000,-14.8175780000000,-17.4685680000000,-2.17857800000000,-6.13335600000000,-17.5351850000000,-11.6843210000000,-20.5193260000000,-5.89584000000000,0.125001000000000,-4.09719900000000,-8.608640000000,-11.6802650000000,-16.7706530000000,-15.4629450000000,-12.8385820000000,-16.949465000000,-6.90502600000000,-14.5901980000000,-15.6157960000000,-7.27375500000000,-13.4066360000000,-11.8320160000000,-12.6897050000000,-3.72619900000000,-16.7706530000000,-21.6396720000000,-6.32104700000000,-12.9563210000000,-5.79621800000000,-6.6720680000000,-12.5840370000000,-7.75518100000000,-13.9300540000000,-10.2285780000000,-12.7147970000000,-6.32952400000000
3,-21.7921080000000,-9.29959400000000,-5.56620600000000,-4.65567400000000,-6.07688100000000,-4.08270100000000,-9.44131200000000,-8.18310100000000,-9.71752100000000,-0.795744000000000,-0.216578000000000,-5.33406900000000,-21.7921080000000,-6.41103400000000,-10.5505410000000,0.849605000000000,-6.67140800000000,-3.54948200000000,-7.84190400000000,-3.91654100000000,0.605967000000000,-2.33378800000000,-4.47350200000000,-6.22536700000000,-7.78998700000000,-1.30500200000000,-6.92694500000000,-1.38059300000000,-8.23304900000000,-4.44320500000000,-6.14207800000000,-5.11677900000000,-2.0950130000000,1.94637200000000,-5.0177110000000,-3.11048200000000,-11.8450690000000,-6.93488700000000,-9.1597380000000,-3.28776400000000,-7.24997600000000,-10.0705930000000,-3.71833000000000,-3.90187300000000,-1.89258100000000,8.25551300000000,-2.73743900000000,-12.5924790000000,-9.00276600000000,-8.99027700000000,-7.1051850000000,-5.21871600000000,-12.1563680000000,-11.4115320000000,-9.75185800000000,-8.24609900000000,-1.05640600000000,1.79523100000000,-3.26324400000000,0.12890800000000,-9.73589300000000,-7.59772500000000,-2.60874600000000,-2.40581200000000,-10.1488470000000,-2.93664600000000,-8.09280700000000,-2.88811900000000,-3.12949400000000,-1.01673200000000,-2.54755400000000,-11.2458110000000,-8.1753390000000,-7.87366200000000,-4.17628800000000,-7.37099300000000,-3.60793900000000,-5.74440300000000,-12.3424530000000,-2.58914300000000,-7.15505000000000,-5.67397400000000,-3.60581800000000,-4.49306800000000,-8.1753390000000,-11.4863980000000,-5.99921900000000,-6.50636400000000,0.684020000000000,0.416171000000000,-7.24688000000000,-0.807211000000000,-7.79255800000000,-2.87079500000000,-0.883897000000000,-8.07860400000000
4,-8.0575680000000,-3.53489000000000,-2.13862600000000,-0.82614600000000,-2.06883600000000,-1.64657100000000,-0.413459000000000,-3.05267400000000,-0.474255000000000,1.27039400000000,2.35141300000000,4.59934800000000,-8.0575680000000,-3.65942100000000,-2.47913900000000,1.68944000000000,1.06283200000000,-0.145386000000000,1.96613400000000,1.70308300000000,0.41513000000000,1.1780980000000,1.93820800000000,-5.49121100000000,-1.57768100000000,0.764120000000000,-7.06801700000000,2.55531700000000,-0.768511000000000,-4.50350300000000,-3.924672000000,-1.61200000000000,-0.244513000000000,8.47249800000000,1.87913500000000,-5.12760200000000,-2.14849900000000,-1.42520500000000,-2.98719500000000,0.886202000000000,-0.836672000000000,-1.73871300000000,-0.199087000000000,6.6120820000000,-3.88132400000000,2.19881500000000,0.638768000000000,-5.14957800000000,-0.935110000000000,-1.73454200000000,-2.41315500000000,-5.44359500000000,-2.23071900000000,1.68086600000000,1.5129390000000,0.686983000000000,4.49878600000000,6.2452480000000,4.43684900000000,2.7655100000000,-3.0403000000000,-9.31982700000000,5.83067600000000,2.30952800000000,-3.91452900000000,2.34982200000000,-3.58015700000000,0.989505000000000,5.56668500000000,1.76194500000000,6.689190000000,-2.84828200000000,-8.63522500000000,-4.1699040000000,-0.202477000000000,2.15414100000000,7.89913900000000,-1.76291600000000,0.814737000000000,0.739043000000000,1.7220700000000,2.94351500000000,0.763372000000000,4.63378400000000,-8.63522500000000,-6.79296100000000,-2.51166800000000,-3.07383300000000,2.73970500000000,7.87022600000000,1.68599800000000,4.48598700000000,0.271136000000000,-1.77377900000000,1.80853100000000,-7.7021400000000
5,-4.27804300000000,2.82768500000000,1.33998500000000,4.59877400000000,1.3278350000000,4.62340000000000,3.39081800000000,3.70223100000000,2.41934300000000,3.35936900000000,2.68472100000000,0.692278000000000,-4.27804300000000,5.85892000000000,2.10295400000000,4.43249100000000,5.93242100000000,4.5095540000000,0.104574000000000,-0.588580000000000,2.70319900000000,8.32050700000000,3.0488130000000,4.03655000000000,1.82661700000000,1.86213300000000,0.167798000000000,2.52757900000000,5.77988500000000,2.10808000000000,1.50321800000000,1.7833280000000,3.33248300000000,4.14537300000000,3.50621500000000,-1.11717600000000,3.44896700000000,0.640496000000000,2.91028300000000,3.9661340000000,4.29285200000000,1.79663700000000,1.35364600000000,1.69992800000000,2.27172300000000,9.27570800000000,6.34027200000000,-8.62297600000000,2.58370800000000,1.26803800000000,3.72365100000000,5.78777300000000,-0.848429000000000,3.15500900000000,4.27868200000000,1.04614000000000,5.62078600000000,6.11323700000000,3.361882000000,-0.157172000000000,1.26307400000000,3.06745700000000,8.58771300000000,0.122882000000000,2.85480700000000,2.59914800000000,4.04946000000000,7.30254800000000,9.03556800000000,8.88176200000000,5.42209100000000,-4.11357500000000,3.00155300000000,-0.816274000000000,6.6606460000000,3.54008400000000,6.52896500000000,3.26044000000000,6.98104300000000,6.96512300000000,5.05539300000000,4.31778000000000,5.73691100000000,2.5946830000000,3.00155300000000,1.84948900000000,1.24119500000000,4.6278080000000,3.32756200000000,-0.956084000000000,2.55612500000000,6.6107820000000,5.33562200000000,0.569771000000000,1.18629200000000,0.43087900000000
6,4.85348500000000,4.92301400000000,3.91112200000000,8.05709900000000,7.17173000000000,10.2209940000000,3.66210300000000,7.03084700000000,5.74138100000000,2.20702500000000,5.09974000000000,2.71998600000000,4.85348500000000,-1.13176400000000,3.84596300000000,7.02895000000000,7.83677700000000,10.0210290000000,6.03549400000000,6.78438100000000,4.38936300000000,8.14150100000000,5.00943400000000,8.29929000000000,1.91072700000000,3.87067300000000,5.64410500000000,5.42929500000000,5.45762900000000,3.16196400000000,7.51245800000000,4.46203400000000,7.11167200000000,1.67529000000000,4.76222800000000,4.49524200000000,6.52019700000000,3.67029800000000,5.47804100000000,3.64632700000000,7.50777200000000,1.90937200000000,3.03651600000000,3.76434500000000,-0.170970000000000,9.81982700000000,3.08548300000000,-6.89215700000000,4.94257900000000,4.03170000000000,8.16622800000000,4.58099700000000,4.17062700000000,5.19076900000000,6.1122020000000,2.50108000000000,7.26461800000000,6.66882300000000,3.73616800000000,2.45966800000000,2.20813000000000,4.52444600000000,7.40156900000000,3.60502200000000,3.82886500000000,4.64593000000000,8.94242800000000,9.22773500000000,6.33596200000000,4.58541400000000,3.02628300000000,-5.74182100000000,4.34328100000000,8.18742800000000,7.44615800000000,3.51946900000000,6.27537900000000,8.01498300000000,8.24157700000000,3.71987900000000,8.43790800000000,7.54457700000000,8.23757300000000,2.05905900000000,4.34328100000000,5.14929300000000,8.67226000000000,2.45433900000000,7.88239900000000,3.36461200000000,6.59545900000000,4.62172300000000,2.30397800000000,3.67703400000000,10.6585340000000,-4.47740600000000
7,7.20329300000000,9.20029300000000,8.81710700000000,4.63002100000000,4.69359300000000,6.61823000000000,7.78975800000000,13.8900480000000,9.64807000000000,7.8630460000000,1.10403000000000,12.548722000000,7.20329300000000,4.00168900000000,8.15137500000000,8.69666000000000,6.71460700000000,8.05185200000000,6.75421600000000,5.55495200000000,12.9957840000000,5.70948400000000,6.61623800000000,13.9397170000000,3.5993420000000,2.70341200000000,10.1781820000000,3.03851900000000,10.8682820000000,9.70817900000000,10.9294070000000,14.2653600000000,6.67379700000000,1.17561900000000,6.3987250000000,2.77993600000000,7.0100900000000,9.72186700000000,7.48105900000000,2.2102890000000,9.85483100000000,8.29948000000000,6.02173300000000,8.96003200000000,8.05341800000000,2.38592800000000,7.36176300000000,-0.188377000000000,2.28080000000000,5.92398500000000,11.5853590000000,8.38764600000000,5.23835500000000,1.28577000000000,10.0720660000000,9.26621900000000,6.696598000000,2.39303600000000,9.79128300000000,1.34213500000000,3.78788700000000,10.1689060000000,6.32926800000000,4.24503400000000,4.39701600000000,5.5501130000000,5.84805000000000,5.17867300000000,6.26399800000000,7.55127200000000,7.39984400000000,-2.59694600000000,5.29665300000000,1.66422100000000,10.2302960000000,9.9430060000000,8.08911800000000,6.13618100000000,8.58682400000000,4.79775200000000,12.357553000000,11.3285540000000,6.05704100000000,1.90686900000000,5.29665300000000,10.7625080000000,6.8117380000000,4.30580600000000,6.01148100000000,5.03566000000000,9.59479400000000,3.35256500000000,12.5954110000000,10.3682250000000,10.2865450000000,-1.98505100000000
8,13.7684730000000,3.16164700000000,4.99647800000000,5.49851600000000,8.42155500000000,7.14455900000000,5.68024900000000,10.9067940000000,9.22775400000000,9.70144100000000,5.68345300000000,9.31815500000000,13.7684730000000,8.47053100000000,11.9192420000000,4.73474400000000,7.6006970000000,4.8656480000000,11.2000380000000,6.76882400000000,5.80219800000000,3.6571670000000,7.88261300000000,11.383348000000,10.6345050000000,5.17751400000000,9.76342800000000,5.25153500000000,6.96667300000000,9.74658300000000,7.46999400000000,10.0979950000000,10.4841230000000,5.2987680000000,6.84131100000000,8.82725300000000,10.152161000000,12.7817770000000,11.1723620000000,8.53102400000000,9.3159340000000,6.29602100000000,7.7565960000000,5.53922400000000,11.1980800000000,3.89808900000000,5.65959800000000,-4.63218300000000,13.1642990000000,4.25814400000000,8.137372000000,7.68003700000000,7.47636600000000,4.22961600000000,2.52022000000000,7.74349700000000,5.74520300000000,3.11031700000000,10.0280410000000,5.95357100000000,5.360893000000,5.08139700000000,6.47775500000000,4.65045600000000,7.34346400000000,5.25526000000000,6.05833600000000,4.19629900000000,3.84026700000000,6.23719300000000,4.72131300000000,1.86090100000000,4.81869500000000,5.9173830000000,6.63989100000000,4.16607500000000,-0.247706000000000,4.38994800000000,2.28626000000000,5.28429300000000,9.98443800000000,1.61840300000000,5.39231700000000,6.29763000000000,4.81869500000000,5.18830600000000,9.90482700000000,5.23377400000000,4.30247800000000,3.35510000000000,7.58622400000000,6.4881960000000,8.22291700000000,7.2326880000000,10.7252840000000,4.32982200000000
9,11.2938730000000,7.12293600000000,3.98695400000000,4.08533100000000,10.6496410000000,11.1899770000000,7.7680230000000,6.12433700000000,3.63706200000000,3.82775700000000,6.1235590000000,11.1379120000000,11.2938730000000,5.64376100000000,8.29020900000000,5.97925100000000,8.77724200000000,5.48505500000000,7.39972000000000,8.91382600000000,5.23148200000000,4.21515100000000,9.24926500000000,3.17067600000000,6.35088000000000,5.47135600000000,5.73434600000000,2.77603200000000,2.89856900000000,7.20507900000000,8.86615500000000,4.44703400000000,3.10170100000000,4.14707600000000,2.21457100000000,7.55610700000000,6.88304500000000,6.00425000000000,9.25094700000000,5.252329000000,4.15987400000000,6.29065900000000,6.3040470000000,4.01964800000000,11.211209000000,0.384173000000000,1.65439900000000,3.35653200000000,2.88035900000000,4.60159000000000,5.94444400000000,6.18581600000000,11.0970040000000,7.9614510000000,6.32393600000000,9.99722900000000,5.63522700000000,-0.924381000000000,4.50751900000000,4.20967800000000,10.1552160000000,7.09801400000000,6.48010000000000,2.46700700000000,1.76596300000000,3.90141100000000,9.83023000000000,10.107795000000,1.46250100000000,1.87752900000000,5.4325630000000,1.46379000000000,6.89388600000000,4.97558400000000,12.5281990000000,5.76642800000000,6.29014300000000,1.99662700000000,7.73861300000000,6.78168200000000,6.7929840000000,2.74651800000000,5.02039700000000,0.0175600000000000,6.89388600000000,10.2912320000000,13.1295750000000,8.7977880000000,4.63419500000000,7.90251900000000,9.47191800000000,8.07810200000000,10.0197050000000,11.017948000000,5.27145700000000,4.76908300000000
10,15.9273310000000,7.53157500000000,5.37981000000000,7.05886000000000,11.716333000000,5.90746200000000,7.65880000000000,7.14508800000000,8.43750100000000,5.56153900000000,-0.388416000000000,6.50692000000000,15.9273310000000,3.52461700000000,9.24847400000000,0.717941000000000,1.94800000000000,1.41904000000000,4.0692480000000,6.42997300000000,-3.21687000000000,3.95552300000000,6.4259280000000,7.27530900000000,10.4963830000000,4.34408400000000,13.810001000000,6.02835000000000,7.83281500000000,9.29004800000000,7.71301400000000,4.54587300000000,2.56357500000000,-1.82752600000000,4.50263100000000,1.15991900000000,8.56644800000000,2.96651000000000,9.09540400000000,2.92395000000000,3.44997500000000,10.7389300000000,8.86931400000000,7.14261700000000,6.66955900000000,-6.39503500000000,3.41655200000000,-0.570070000000000,5.02105600000000,7.72620500000000,9.9569350000000,4.01445800000000,7.24677200000000,5.47783300000000,11.7601730000000,13.0105610000000,2.09436000000000,-0.693108000000000,6.06209100000000,6.25421200000000,8.57763400000000,9.62588600000000,3.79841900000000,5.33473700000000,4.21069200000000,5.28702800000000,11.8357510000000,6.12546100000000,-3.16491600000000,0.542413000000000,5.68319200000000,4.75478200000000,4.75296900000000,11.3681260000000,8.57507000000000,10.121958000000,4.7243440000000,4.5582180000000,8.19326200000000,5.18667700000000,5.73898500000000,1.19438200000000,7.09743900000000,-3.09997100000000,4.75296900000000,9.28746000000000,7.43859700000000,7.60742300000000,1.22349600000000,0.487980000000000,6.52976100000000,3.97298000000000,5.12997700000000,6.33822100000000,2.96992500000000,-1.93095400000000
