Cycle,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12
1,-51.330419000000,-37.5865390000000,-25.5994500000000,-19.9070360000000,-19.6064760000000,-17.4733830000000,-31.3057300000000,-33.6551640000000,-24.5640710000000,-27.6914900000000,-26.487826000000,-35.4587480000000,-16.4500980000000,-14.3937360000000,-19.8267540000000,-19.6375220000000,-22.1906370000000,-20.8803620000000,-19.4777440000000,-30.207236000000,-20.6255940000000,-15.3754780000000,-22.7916790000000,-19.3203910000000,-28.8711540000000,-40.084161000000,-16.2828690000000,-9.42040000000000,-18.1925080000000,-22.9138700000000,-21.0572180000000,-25.3079130000000,-3.01326400000000,-11.1579530000000,-17.8361840000000,-14.1262140000000,-9.26507800000000,-18.071513000000,-10.1990930000000,0.118583000000000,-22.7218610000000,-18.4664190000000,-16.0375530000000,-24.4192170000000,-11.4876430000000,-5.57436000000000,-5.45397700000000,-17.2792960000000,-41.7048870000000,-15.4049270000000,-11.7196150000000,-14.525266000000,-18.4795930000000,-11.3108300000000,-10.1480760000000,-19.2734200000000,-9.70370600000000,-11.5199070000000,-3.13113800000000,-17.8726310000000,-9.32472900000000,-10.840897000000,-7.45747000000000,-15.1433650000000,-31.6634860000000,-12.6137970000000,-16.4082130000000,-15.3141050000000,-21.7194400000000,-22.7308550000000,-11.4994330000000,-16.1675620000000,-40.1843990000000,-17.3445170000000,-21.6962200000000,-2.45107300000000,-24.4914700000000,-16.9257990000000,-12.1682800000000,4.58385800000000,-13.2445090000000,-27.142720000000,-13.352195000000,-15.8342070000000,-39.6496180000000,-30.1466130000000,-23.1046070000000,-13.6036400000000,-22.2239730000000,-36.9954180000000,-29.2108870000000,-4.9490360000000,-16.4479120000000,-27.2737170000000,2.69996700000000,-6.81331300000000
2,-28.8261360000000,-21.4631700000000,-12.8605160000000,-11.4868550000000,-8.43965300000000,-5.8736050000000,-25.0550240000000,-14.1918970000000,-10.0380120000000,-9.87143200000000,-11.8931640000000,-18.4769550000000,-8.17845600000000,-7.16511100000000,-13.13253200000,-8.87140700000000,-7.87288900000000,-14.013333000000,-10.014840000000,-14.9914780000000,-3.80614700000000,0.264004000000000,-10.4671220000000,-7.22989000000000,-17.0058220000000,-24.3633600000000,-9.67729100000000,-11.8498040000000,-10.4894510000000,-11.1391190000000,-13.0724480000000,-14.7107680000000,-1.08469300000000,-9.64202900000000,-8.87889100000000,-6.4107900000000,-2.52363800000000,-10.5319630000000,-11.3874170000000,0.224278000000000,-1.60178200000000,-10.2556160000000,-9.08674200000000,-16.7004400000000,-3.45613200000000,-3.09425700000000,1.04597600000000,-8.31061600000000,-21.5043880000000,-8.33754900000000,-7.09827300000000,-5.90330600000000,-19.6452280000000,-6.43527600000000,-9.2750630000000,-6.06413000000000,-2.04092200000000,-9.49418900000000,2.66832900000000,-14.0794950000000,-3.46521200000000,-4.39619700000000,-3.3197420000000,-14.3988260000000,-22.0095010000000,-7.25958800000000,-9.35483900000000,-10.8262580000000,-3.61511700000000,-7.80279000000000,-7.62738600000000,-8.71805300000000,-19.4398170000000,-10.083286000000,-20.4634070000000,-2.23414900000000,-15.0761380000000,-12.2495930000000,-8.71617100000000,6.63354400000000,-2.52077700000000,-9.84683300000000,-7.91280200000000,-4.73527800000000,-14.5710190000000,-18.135967000000,-7.53708900000000,-4.01419100000000,-6.28706900000000,-16.8671180000000,-15.7360410000000,5.69866800000000,1.6826710000000,-9.78576900000000,-12.3354300000000,-0.507167000000000
3,-16.1582640000000,-8.91025400000000,-5.42970400000000,1.1434300000000,-2.19110700000000,-2.30421600000000,-8.5687490000000,-9.70565400000000,-1.55702000000000,0.241610000000000,-2.26554300000000,-0.722054000000000,-2.14968800000000,-0.350635000000000,-2.29133600000000,-0.241029000000000,-2.9091810000000,-6.26800400000000,-3.52534300000000,-4.18128800000000,-2.02249700000000,-0.803379000000000,-3.16984200000000,-1.32981500000000,-12.7655050000000,-11.3154750000000,-1.56045700000000,2.02566400000000,-3.96439500000000,-5.14257800000000,-7.89875900000000,-5.94692500000000,7.4306540000000,-4.5698720000000,3.84821900000000,-5.05377100000000,-1.28575300000000,-6.47239700000000,-2.04275000000000,7.50109200000000,0.0259190000000000,-2.35374200000000,-2.37327700000000,-3.53438900000000,3.77968900000000,1.89861700000000,2.31828900000000,-4.63481600000000,-14.4019920000000,-3.49317500000000,0.782368000000000,-2.25003300000000,-6.50249300000000,-1.16754100000000,-0.968428000000000,3.10488000000000,1.45084200000000,-2.96665100000000,4.34867400000000,-5.44883800000000,-4.49499900000000,2.42180600000000,1.38074800000000,3.56921500000000,-11.7834960000000,-2.39554000000000,0.681631000000000,-0.563869000000000,4.39872300000000,-0.672812000000000,3.87981500000000,-1.11064400000000,-7.64478000000000,-3.10857100000000,-5.67106300000000,1.70579200000000,-7.46501000000000,-4.38982600000000,-2.154320000000,2.81877100000000,-0.86544900000000,2.01839800000000,-2.43146000000000,1.13890000000000,-4.6364680000000,-2.94021100000000,-0.928438000000000,-1.78559700000000,-1.06654700000000,-8.3068500000000,-3.46001400000000,6.63954600000000,-0.405193000000000,1.82077900000000,0.999392000000000,3.34831200000000
4,-11.2783720000000,4.15896300000000,0.139608000000000,5.33530800000000,3.63704800000000,1.7413850000000,-8.49109900000000,3.71671200000000,1.3636590000000,0.857862000000000,0.198629000000000,2.91552200000000,-0.280446000000000,2.07716800000000,-2.57597200000000,2.06836700000000,4.26859400000000,-4.7159650000000,-0.264048000000000,0.595873000000000,-2.26349300000000,-0.484012000000000,0.381051000000000,0.923345000000000,-5.42177300000000,-5.45981900000000,4.85979600000000,2.53785700000000,-0.290451000000000,1.93279000000000,1.40457700000000,-1.0556550000000,10.3264510000000,2.61272800000000,2.11911400000000,-1.44117600000000,-3.58504800000000,1.1902280000000,1.21646100000000,6.97943000000000,1.33193900000000,4.25619600000000,0.607689000000000,3.49225700000000,3.17631700000000,7.11945900000000,4.05489700000000,-5.69146200000000,-9.92926800000000,2.6359860000000,6.57720100000000,5.56111000000000,2.24329600000000,2.35168800000000,4.57983900000000,4.4503690000000,3.20597700000000,6.3392750000000,6.75162400000000,-10.0076900000000,0.329909000000000,1.57682600000000,6.67561400000000,3.36807000000000,-1.42785100000000,-0.578392000000000,5.52572800000000,6.10377200000000,2.37990600000000,0.279206000000000,4.47243600000000,-3.1273440000000,-0.579919000000000,0.263128000000000,-4.94878600000000,2.25231100000000,-1.07560900000000,-0.563209000000000,6.09958100000000,5.8438030000000,5.17045500000000,0.394148000000000,1.55232300000000,0.755976000000000,1.34623800000000,6.54537800000000,3.76261000000000,6.51474800000000,4.87534400000000,5.43161100000000,-0.436012000000000,5.00329000000000,5.29425500000000,0.972303000000000,-1.0861490000000,6.49065000000000
5,-6.04266900000000,1.02231000000000,2.80665900000000,4.2184500000000,4.22681200000000,2.14721000000000,4.2198130000000,-0.209229000000000,4.00320800000000,1.47839400000000,4.15147900000000,1.54143800000000,-1.44884100000000,10.12386100000,4.94047800000000,9.04260300000000,4.91883400000000,6.17510200000000,3.96252900000000,5.31236000000000,9.69307900000000,4.59804700000000,7.90422400000000,5.86889000000000,0.592575000000000,2.54187200000000,2.54582300000000,4.57370300000000,7.7993690000000,-0.532333000000000,7.07269800000000,2.87584500000000,4.57626700000000,2.8486490000000,2.43028500000000,-0.12665700000000,0.807487000000000,5.69313300000000,2.03889500000000,5.47146800000000,1.60714800000000,5.68092200000000,3.23704000000000,3.07806400000000,3.67309800000000,5.9178480000000,6.5621620000000,-3.87278900000000,-1.21916200000000,6.29275700000000,4.22475400000000,7.79352800000000,2.22008500000000,1.88573200000000,4.75805100000000,2.24914900000000,5.46560300000000,3.53753900000000,4.60537800000000,-1.4705950000000,3.95305200000000,4.01118600000000,2.40431300000000,1.28104100000000,-0.451807000000000,4.0872430000000,6.89060200000000,5.62382700000000,3.35656400000000,7.43695900000000,6.71890600000000,-4.30333200000000,5.43552100000000,3.40108100000000,1.26048500000000,7.29903800000000,2.69838100000000,4.62386600000000,5.45568700000000,6.67012000000000,5.77221200000000,7.04741900000000,6.07016300000000,1.86085800000000,2.56158600000000,1.84399800000000,2.1293780000000,4.10529200000000,5.80377500000000,2.77484400000000,3.47672500000000,3.57489800000000,5.63541200000000,2.39627300000000,3.52836800000000,2.20232100000000
6,2.05360600000000,5.07189400000000,6.89038200000000,2.27634300000000,3.39712300000000,6.66873700000000,9.02950500000000,9.35012900000000,9.63865600000000,5.35070900000000,3.4805780000000,7.09559400000000,2.28409200000000,7.47515700000000,6.09033000000000,5.18697000000000,8.21326100000000,4.56940700000000,7.54587100000000,3.56534900000000,9.14936500000000,9.48109900000000,8.20682800000000,9.48415900000000,5.00216000000000,4.0599410000000,5.10817700000000,3.54755800000000,7.87947300000000,6.92424700000000,-0.568411000000000,1.81703100000000,5.80710100000000,5.70272500000000,9.25370200000000,-1.22701400000000,2.53419300000000,8.81412700000000,2.47822600000000,4.89941400000000,7.70073400000000,2.1753700000000,5.21056800000000,6.07801400000000,5.36236000000000,5.16854000000000,12.2065800000000,-0.920690000000000,1.40137400000000,5.55045900000000,5.92965300000000,7.76170100000000,5.23666900000000,6.83701500000000,4.5922640000000,-0.490693000000000,6.10046100000000,4.1713670000000,-0.407151000000000,-0.830242000000000,6.31415200000000,3.22543900000000,3.68144100000000,6.20472300000000,4.8635270000000,5.20246600000000,5.28018300000000,5.95610100000000,3.84935300000000,9.49470600000000,1.26029700000000,-3.5825990000000,3.52143700000000,4.10331500000000,2.14377000000000,5.24976000000000,1.37717400000000,3.43238000000000,1.91684100000000,5.20263500000000,7.97223800000000,5.94454700000000,6.67030800000000,-0.131937000000000,6.04237000000000,8.84187400000000,4.86240900000000,7.17118300000000,-0.608890000000000,6.02993800000000,3.09872500000000,3.86070300000000,7.56719400000000,6.3278130000000,5.65511200000000,5.17644000000000
7,5.34626400000000,9.01500100000000,6.55859000000000,5.68897400000000,8.50630300000000,3.29046600000000,7.22848500000000,5.101989000000,10.3171620000000,8.0765130000000,9.68939500000000,9.63679800000000,3.49992100000000,7.90391900000000,3.44370100000000,6.53337800000000,9.92712300000000,2.23038800000000,7.31028000000000,7.09338800000000,7.22923000000000,9.62877400000000,10.4986830000000,1.84938500000000,1.98892800000000,4.39549800000000,7.51361000000000,2.99155700000000,7.19446700000000,5.56711600000000,8.47191400000000,11.7088280000000,1.68183500000000,5.63729100000000,1.59275000000000,-2.25773300000000,3.14684900000000,6.92145500000000,6.6379220000000,1.40715200000000,7.47624200000000,3.65300200000000,9.16611100000000,7.20434600000000,4.90350400000000,3.03741900000000,5.39547300000000,1.37049900000000,8.19154600000000,4.85647200000000,6.15864500000000,4.8848400000000,8.38349000000000,6.49275700000000,5.42241400000000,2.53149200000000,2.2754130000000,7.27540800000000,5.36307400000000,-3.98813300000000,0.947961000000000,4.55891800000000,5.37305300000000,3.3257220000000,5.69849100000000,6.01280000000000,4.85185500000000,2.15923900000000,5.61898100000000,10.2151140000000,0.206601000000000,-1.63837900000000,8.29079400000000,9.65441500000000,7.0012210000000,5.83328900000000,3.36130100000000,7.22832900000000,4.32897400000000,1.88997500000000,2.99397300000000,6.93853500000000,1.91660300000000,4.81600000000000,6.39414800000000,2.9279460000000,5.99827700000000,2.8019650000000,1.09464000000000,6.99869400000000,8.17373100000000,1.85307900000000,1.95476300000000,7.33985900000000,7.32171300000000,-2.61644900000000
8,8.02092300000000,3.23805900000000,6.34644200000000,2.56967600000000,8.7496410000000,5.78827000000000,9.37546100000000,9.29034100000000,7.89198300000000,4.66793600000000,5.63068100000000,0.819710000000000,4.30923800000000,1.76198400000000,8.81334100000000,7.17204900000000,0.423263000000000,5.70091600000000,3.88135800000000,4.08186500000000,7.56363300000000,5.71186100000000,1.3444650000000,2.06860200000000,1.25532400000000,6.8003040000000,7.32806500000000,2.16225600000000,4.06114900000000,5.60369300000000,5.05754600000000,8.68374100000000,-2.09604700000000,6.73207900000000,1.44301400000000,0.757458000000000,0.690020000000000,4.84366900000000,8.68702300000000,0.848337000000000,4.27716100000000,2.05701400000000,4.37455200000000,8.39877900000000,3.1611100000000,2.97674700000000,0.423473000000000,1.1920850000000,10.9253140000000,7.47432000000000,3.69880700000000,3.45294800000000,5.66090200000000,-0.791888000000000,1.62332600000000,6.24036800000000,1.97595200000000,4.82650100000000,-0.382076000000000,1.36310400000000,0.0584010000000000,5.32730800000000,4.06586800000000,4.5049770000000,8.05313200000000,7.13942200000000,2.28135600000000,4.35520500000000,9.05979100000000,6.87654300000000,2.88948300000000,-4.05887100000000,9.13802600000000,5.87637200000000,7.9964640000000,0.91414700000000,4.66540900000000,5.6367840000000,5.15167300000000,0.380729000000000,4.26738600000000,-0.266333000000000,5.17226000000000,-4.45311500000000,7.5581520000000,3.80568800000000,2.42654300000000,-1.51470700000000,5.63525000000000,6.14386100000000,5.89760700000000,0.986735000000000,3.0485010000000,8.84361100000000,3.4613720000000,2.06026700000000
9,9.01675200000000,5.03161300000000,2.75788500000000,1.52552600000000,6.61781800000000,2.9796820000000,8.57650800000000,3.90596900000000,2.38858700000000,2.57076400000000,6.75944000000000,2.0776200000000,2.44293800000000,2.71668400000000,4.71184400000000,0.41569600000000,1.16590100000000,3.14482200000000,6.55938300000000,5.47972400000000,1.51812000000000,4.26059200000000,1.17195700000000,1.54517400000000,3.55942700000000,10.0158920000000,0.92258700000000,3.66759600000000,1.35870600000000,4.23555700000000,8.01638800000000,6.16779900000000,-4.2434160000000,4.40432700000000,0.424825000000000,1.99161800000000,4.30588000000000,6.36469500000000,4.10510200000000,-1.57728500000000,2.75638100000000,6.06099900000000,3.48403800000000,1.98252500000000,-2.94282300000000,3.51869300000000,2.57945500000000,1.76166000000000,5.77722700000000,0.789169000000000,-0.313826000000000,-1.41869300000000,4.71535700000000,3.95616400000000,6.78811800000000,0.361430000000000,6.35625300000000,2.72229700000000,-2.36717600000000,0.376299000000000,-0.215804000000000,0.0183140000000000,2.47913300000000,-1.37944500000000,4.7075070000000,2.8647490000000,2.95571100000000,1.14087200000000,0.0974090000000000,2.75134700000000,-5.06133700000000,1.97159200000000,10.055818000000,4.16412500000000,9.3206940000000,-4.14814100000000,7.46680500000000,2.97763500000000,4.65352900000000,-1.34049100000000,-2.08656900000000,-0.00136000000000000,4.68780700000000,-3.02847600000000,2.56302000000000,3.62327700000000,0.565547000000000,-0.616059000000000,2.92555900000000,3.19745100000000,4.71097000000000,-0.006484000000000,2.45703700000000,5.22485200000000,2.9954130000000,-1.99491900000000
10,12.3615960000000,3.21018900000000,3.69573500000000,5.47534200000000,4.64310500000000,6.70914200000000,7.95773300000000,11.6256620000000,0.130270000000000,2.11935700000000,-0.280541000000000,-1.7543100000000,5.64919300000000,4.81118600000000,-0.0268550000000000,-3.21596100000000,-0.644178000000000,6.02304200000000,5.21584100000000,6.01476400000000,4.90235400000000,-3.30817000000000,6.09688900000000,3.01248300000000,6.49592800000000,8.34359500000000,1.68987600000000,1.18655000000000,4.39153600000000,5.64449400000000,4.89878400000000,5.64492900000000,-5.04033100000000,2.4284580000000,-2.69850500000000,1.74167800000000,0.432976000000000,2.70927100000000,6.53771500000000,0.35350600000000,-1.24469500000000,3.29169800000000,8.89132800000000,3.15350800000000,-3.44243800000000,0.915118000000000,-5.44540700000000,2.25530400000000,7.10014500000000,2.48227600000000,4.03383600000000,-2.38788200000000,3.79047600000000,1.98197700000000,2.39938200000000,0.601022000000000,-2.02457300000000,-0.547762000000000,3.15949100000000,3.8381110000,1.96918100000000,1.28235700000000,4.94375100000000,-1.98918000000000,6.88162400000000,5.0753330000000,0.595808000000000,1.79771000000000,0.0785820000000000,2.55083700000000,0.272379000000000,-1.01197200000000,4.52395500000000,3.5866360000000,9.23941900000000,-1.26985000000000,8.74172300000000,4.48983400000000,-1.85876900000000,-1.00648000000000,-1.67966500000000,3.03069000000000,1.87962600000000,7.2241430000000,5.73694600000000,4.3185990000000,1.84872900000000,2.46200600000000,3.12897100000000,6.98554100000000,4.24353000000000,-3.36762700000000,-0.359382000000000,3.14277500000000,4.72121300000000,1.12145900000000
