cultivar,well,target,content,sample,cultivar_code,stage,bio_rep,cq,set_point
tacapa,F07,CmATH,Unkn,T.M.C,T,M,C,25.903154,55.3
tacapa,F08,CmEREBP,Unkn,T.30.A,T,30,A,24.614285,55.3
tacapa,F09,CmEREBP,Unkn,T.M.B,T,M,B,22.789369,55.3
tacapa,F10,CmCYP,Unkn,T.15.C,T,15,C,21.302989,55.3
tacapa,F11,CmCYP,Unkn,T.M.A,T,M,A,24.170665,55.3
tacapa,F12,CmEREBP,NTC,NA,NA,NA,NA,NA,55.3
tacapa,G01,CmACS,Unkn,T.30.A,T,30,A,30.284619,55.3
tacapa,G02,CmACS,Unkn,T.M.B,T,M,B,30.203396,55.3
tacapa,G03,CmACO,Unkn,T.15.C,T,15,C,24.490775,55.3
tacapa,G04,CmACO,Unkn,T.M.A,T,M,A,27.602391,55.3
tacapa,G05,CmATH,Unkn,T.15.B,T,15,B,23.670166,55.3
tacapa,G06,CmATH,Unkn,T.30.C,T,30,C,27.388337,55.3
tacapa,G07,CmEREBP,Unkn,T.15.A,T,15,A,24.839857,55.3
tacapa,G08,CmEREBP,Unkn,T.30.B,T,30,B,25.010709,55.3
tacapa,G09,CmEREBP,Unkn,T.M.C,T,M,C,24.394219,55.3
tacapa,G10,CmCYP,Unkn,T.30.A,T,30,A,23.517205,55.3
tacapa,G11,CmCYP,Unkn,T.M.B,T,M,B,23.243158,55.3
tacapa,G12,CmCYP,NTC,NA,NA,NA,NA,NA,55.3
tacapa,H01,CmACS,Unkn,T.30.A,T,30,A,30.284619,55.3
tacapa,H02,CmACS,Unkn,T.M.B,T,M,B,30.682669,55.3
tacapa,H03,CmACO,Unkn,T.15.C,T,15,C,24.459524,55.3
tacapa,H04,CmACO,Unkn,T.M.A,T,M,A,27.710713,55.3
tacapa,H05,CmATH,Unkn,T.15.B,T,15,B,23.9494,55.3
tacapa,H06,CmATH,Unkn,T.30.C,T,30,C,27.303082,55.3
tacapa,H07,CmEREBP,Unkn,T.15.A,T,15,A,24.701806,55.3
tacapa,H08,CmEREBP,Unkn,T.30.B,T,30,B,24.883185,55.3
tacapa,H09,CmEREBP,Unkn,T.M.C,T,M,C,24.667975,55.3
tacapa,H10,CmCYP,Unkn,T.30.A,T,30,A,23.672661,55.3
tacapa,H11,CmCYP,Unkn,T.M.B,T,M,B,23.186881,55.3
tacapa,H12,CmCYP,NTC,NA,NA,NA,NA,NA,55.3
tacapa,NA,NA,NA,NA,NA,NA,NA,NA,NA
